add|84901234563|5000|true
minus|84901234565|1000|true
add|84901234563|7000|true
minus|84901234565|1000|true
add|84901234563|8000|true
minus|84901234565|1000|true
add|84901234563|7000|true
minus|84901234565|1000|true
add|84901234560|5000|true
minus|84901234544|2000|true
add|84901234560|5000|true
minus|84901234544|2000|true
add|84901234560|5000|true
minus|84901234544|2000|true
transfer|84901234543|10000|true
add|84901234560|5000|true
minus|84901234544|2000|true
transfer|84901234543|10000|true
add|84901234560|5000|true
minus|84901234544|20000000|false
transfer|84901234543|10000|true
add|84901234560|5000|true
minus|84901234544|100000|false
transfer|84901234543|10000|true
add|84901234560|5000|true
minus|84901234544|98000|false
transfer|84901234543|10000|true
add|84901234560|5000|true
minus|84901234544|97000|true
transfer|84901234543|10000|true
add|84901234560|5000|true
minus|84901234544|97000|true
transfer|84901234543|10000|true
